"","Country","Year","sex","age","suicides_no","population","suicides.100k.pop","HDI.for.year","gdp_for_year....","gdp_per_capita....","generation","DocsPer1000","NursesPer1000","SE.TER.ENRR","SE.XPD.TOTL.GD.ZS","SH.MED.BEDS.ZS","SH.XPD.PRIV.ZS","SH.XPD.PUBL.ZS","SL.UEM.TOTL.FE.ZS","SL.UEM.TOTL.MA.ZS","SL.UEM.TOTL.ZS","SM.POP.NETM","SP.POP.80UP.FE","SP.RUR.TOTL.ZS","SP.URB.TOTL.IN.ZS"
"1","Australia",2000,"female","75+ years",33,652895,5.05,0.898,"415,034,227,218",23219,"G.I. Generation",2.49,10.07,67.0389099121094,4.89465999603271,7.8000001907,2.67863348399026,5.39951166600973,6.09999990463257,6.5,6.30000019073486,NA,356484,12.835,87.165
"2","Australia",2000,"female","15-24 years",78,1285283,6.07,0.898,"415,034,227,218",23219,"Generation X",2.49,10.07,67.0389099121094,4.89465999603271,7.8000001907,2.67863348399026,5.39951166600973,6.09999990463257,6.5,6.30000019073486,NA,356484,12.835,87.165
"3","Australia",2000,"male","35-54 years",745,2769752,26.9,0.898,"415,034,227,218",23219,"Boomers",2.49,10.07,67.0389099121094,4.89465999603271,7.8000001907,2.67863348399026,5.39951166600973,6.09999990463257,6.5,6.30000019073486,NA,356484,12.835,87.165
"4","Australia",2000,"male","15-24 years",271,1333011,20.33,0.898,"415,034,227,218",23219,"Generation X",2.49,10.07,67.0389099121094,4.89465999603271,7.8000001907,2.67863348399026,5.39951166600973,6.09999990463257,6.5,6.30000019073486,NA,356484,12.835,87.165
"5","Australia",2000,"male","55-74 years",281,1522620,18.46,0.898,"415,034,227,218",23219,"Silent",2.49,10.07,67.0389099121094,4.89465999603271,7.8000001907,2.67863348399026,5.39951166600973,6.09999990463257,6.5,6.30000019073486,NA,356484,12.835,87.165
"6","Australia",2000,"female","25-34 years",106,1445332,7.33,0.898,"415,034,227,218",23219,"Generation X",2.49,10.07,67.0389099121094,4.89465999603271,7.8000001907,2.67863348399026,5.39951166600973,6.09999990463257,6.5,6.30000019073486,NA,356484,12.835,87.165
"7","Australia",2000,"female","35-54 years",200,2782583,7.19,0.898,"415,034,227,218",23219,"Boomers",2.49,10.07,67.0389099121094,4.89465999603271,7.8000001907,2.67863348399026,5.39951166600973,6.09999990463257,6.5,6.30000019073486,NA,356484,12.835,87.165
"8","Australia",2000,"male","5-14 years",8,1377301,0.58,0.898,"415,034,227,218",23219,"Millenials",2.49,10.07,67.0389099121094,4.89465999603271,7.8000001907,2.67863348399026,5.39951166600973,6.09999990463257,6.5,6.30000019073486,NA,356484,12.835,87.165
"9","Australia",2000,"male","25-34 years",466,1430700,32.57,0.898,"415,034,227,218",23219,"Generation X",2.49,10.07,67.0389099121094,4.89465999603271,7.8000001907,2.67863348399026,5.39951166600973,6.09999990463257,6.5,6.30000019073486,NA,356484,12.835,87.165
"10","Australia",2000,"female","5-14 years",1,1309796,0.08,0.898,"415,034,227,218",23219,"Millenials",2.49,10.07,67.0389099121094,4.89465999603271,7.8000001907,2.67863348399026,5.39951166600973,6.09999990463257,6.5,6.30000019073486,NA,356484,12.835,87.165
"11","Australia",2000,"female","55-74 years",87,1549060,5.62,0.898,"415,034,227,218",23219,"Silent",2.49,10.07,67.0389099121094,4.89465999603271,7.8000001907,2.67863348399026,5.39951166600973,6.09999990463257,6.5,6.30000019073486,NA,356484,12.835,87.165
"12","Australia",2000,"male","75+ years",115,416077,27.64,0.898,"415,034,227,218",23219,"G.I. Generation",2.49,10.07,67.0389099121094,4.89465999603271,7.8000001907,2.67863348399026,5.39951166600973,6.09999990463257,6.5,6.30000019073486,NA,356484,12.835,87.165
"13","Australia",2001,"female","75+ years",39,677113,5.76,NA,"378,215,090,694",20860,"Silent",2.56,9.95,67.0050506591797,NA,7.5999999046,2.75768004331882,5.42099865976707,6.5,7,6.80000019073486,NA,372714,12.622,87.378
"14","Australia",2001,"female","5-14 years",4,1317968,0.3,NA,"378,215,090,694",20860,"Millenials",2.56,9.95,67.0050506591797,NA,7.5999999046,2.75768004331882,5.42099865976707,6.5,7,6.80000019073486,NA,372714,12.622,87.378
"15","Australia",2001,"male","75+ years",115,437528,26.28,NA,"378,215,090,694",20860,"Silent",2.56,9.95,67.0050506591797,NA,7.5999999046,2.75768004331882,5.42099865976707,6.5,7,6.80000019073486,NA,372714,12.622,87.378
"16","Australia",2001,"female","15-24 years",63,1303713,4.83,NA,"378,215,090,694",20860,"Millenials",2.56,9.95,67.0050506591797,NA,7.5999999046,2.75768004331882,5.42099865976707,6.5,7,6.80000019073486,NA,372714,12.622,87.378
"17","Australia",2001,"male","25-34 years",489,1427829,34.25,NA,"378,215,090,694",20860,"Generation X",2.56,9.95,67.0050506591797,NA,7.5999999046,2.75768004331882,5.42099865976707,6.5,7,6.80000019073486,NA,372714,12.622,87.378
"18","Australia",2001,"male","55-74 years",296,1566014,18.9,NA,"378,215,090,694",20860,"Silent",2.56,9.95,67.0050506591797,NA,7.5999999046,2.75768004331882,5.42099865976707,6.5,7,6.80000019073486,NA,372714,12.622,87.378
"19","Australia",2001,"male","35-54 years",752,2803465,26.82,NA,"378,215,090,694",20860,"Boomers",2.56,9.95,67.0050506591797,NA,7.5999999046,2.75768004331882,5.42099865976707,6.5,7,6.80000019073486,NA,372714,12.622,87.378
"20","Australia",2001,"male","5-14 years",4,1386873,0.29,NA,"378,215,090,694",20860,"Millenials",2.56,9.95,67.0050506591797,NA,7.5999999046,2.75768004331882,5.42099865976707,6.5,7,6.80000019073486,NA,372714,12.622,87.378
"21","Australia",2001,"female","35-54 years",226,2827367,7.99,NA,"378,215,090,694",20860,"Boomers",2.56,9.95,67.0050506591797,NA,7.5999999046,2.75768004331882,5.42099865976707,6.5,7,6.80000019073486,NA,372714,12.622,87.378
"22","Australia",2001,"female","25-34 years",109,1445867,7.54,NA,"378,215,090,694",20860,"Generation X",2.56,9.95,67.0050506591797,NA,7.5999999046,2.75768004331882,5.42099865976707,6.5,7,6.80000019073486,NA,372714,12.622,87.378
"23","Australia",2001,"male","15-24 years",280,1351444,20.72,NA,"378,215,090,694",20860,"Millenials",2.56,9.95,67.0050506591797,NA,7.5999999046,2.75768004331882,5.42099865976707,6.5,7,6.80000019073486,NA,372714,12.622,87.378
"24","Australia",2001,"female","55-74 years",81,1585702,5.11,NA,"378,215,090,694",20860,"Silent",2.56,9.95,67.0050506591797,NA,7.5999999046,2.75768004331882,5.42099865976707,6.5,7,6.80000019073486,NA,372714,12.622,87.378
"25","Australia",2002,"male","25-34 years",452,1433165,31.54,NA,"394,486,709,920",21474,"Generation X",2.56,9.94,75.7524337768555,NA,4,2.76977818501043,5.62066014498957,6.19999980926514,6.59999990463257,6.40000009536743,575104,389729,12.459,87.541
"26","Australia",2002,"female","5-14 years",4,1321845,0.3,NA,"394,486,709,920",21474,"Millenials",2.56,9.94,75.7524337768555,NA,4,2.76977818501043,5.62066014498957,6.19999980926514,6.59999990463257,6.40000009536743,575104,389729,12.459,87.541
"27","Australia",2002,"male","15-24 years",246,1372770,17.92,NA,"394,486,709,920",21474,"Millenials",2.56,9.94,75.7524337768555,NA,4,2.76977818501043,5.62066014498957,6.19999980926514,6.59999990463257,6.40000009536743,575104,389729,12.459,87.541
"28","Australia",2002,"female","35-54 years",213,2845525,7.49,NA,"394,486,709,920",21474,"Boomers",2.56,9.94,75.7524337768555,NA,4,2.76977818501043,5.62066014498957,6.19999980926514,6.59999990463257,6.40000009536743,575104,389729,12.459,87.541
"29","Australia",2002,"female","25-34 years",103,1444148,7.13,NA,"394,486,709,920",21474,"Generation X",2.56,9.94,75.7524337768555,NA,4,2.76977818501043,5.62066014498957,6.19999980926514,6.59999990463257,6.40000009536743,575104,389729,12.459,87.541
"30","Australia",2002,"male","55-74 years",266,1626692,16.35,NA,"394,486,709,920",21474,"Silent",2.56,9.94,75.7524337768555,NA,4,2.76977818501043,5.62066014498957,6.19999980926514,6.59999990463257,6.40000009536743,575104,389729,12.459,87.541
"31","Australia",2002,"male","35-54 years",744,2820596,26.38,NA,"394,486,709,920",21474,"Boomers",2.56,9.94,75.7524337768555,NA,4,2.76977818501043,5.62066014498957,6.19999980926514,6.59999990463257,6.40000009536743,575104,389729,12.459,87.541
"32","Australia",2002,"male","5-14 years",4,1391412,0.29,NA,"394,486,709,920",21474,"Millenials",2.56,9.94,75.7524337768555,NA,4,2.76977818501043,5.62066014498957,6.19999980926514,6.59999990463257,6.40000009536743,575104,389729,12.459,87.541
"33","Australia",2002,"female","75+ years",36,696793,5.17,NA,"394,486,709,920",21474,"Silent",2.56,9.94,75.7524337768555,NA,4,2.76977818501043,5.62066014498957,6.19999980926514,6.59999990463257,6.40000009536743,575104,389729,12.459,87.541
"34","Australia",2002,"male","75+ years",101,456942,22.1,NA,"394,486,709,920",21474,"Silent",2.56,9.94,75.7524337768555,NA,4,2.76977818501043,5.62066014498957,6.19999980926514,6.59999990463257,6.40000009536743,575104,389729,12.459,87.541
"35","Australia",2002,"female","55-74 years",92,1643643,5.6,NA,"394,486,709,920",21474,"Silent",2.56,9.94,75.7524337768555,NA,4,2.76977818501043,5.62066014498957,6.19999980926514,6.59999990463257,6.40000009536743,575104,389729,12.459,87.541
"36","Australia",2002,"female","15-24 years",58,1316527,4.41,NA,"394,486,709,920",21474,"Millenials",2.56,9.94,75.7524337768555,NA,4,2.76977818501043,5.62066014498957,6.19999980926514,6.59999990463257,6.40000009536743,575104,389729,12.459,87.541
"37","Australia",2003,"male","15-24 years",243,1394989,17.42,NA,"466,294,700,058",25059,"Millenials",2.63,9.94,73.3942565917969,NA,NA,2.81232385001891,5.50612733998109,5.90000009536743,5.90000009536743,5.90000009536743,NA,407476,12.305,87.695
"38","Australia",2003,"male","75+ years",103,476387,21.62,NA,"466,294,700,058",25059,"Silent",2.63,9.94,73.3942565917969,NA,NA,2.81232385001891,5.50612733998109,5.90000009536743,5.90000009536743,5.90000009536743,NA,407476,12.305,87.695
"39","Australia",2003,"female","35-54 years",195,2868971,6.8,NA,"466,294,700,058",25059,"Boomers",2.63,9.94,73.3942565917969,NA,NA,2.81232385001891,5.50612733998109,5.90000009536743,5.90000009536743,5.90000009536743,NA,407476,12.305,87.695
"40","Australia",2003,"male","25-34 years",394,1437607,27.41,NA,"466,294,700,058",25059,"Generation X",2.63,9.94,73.3942565917969,NA,NA,2.81232385001891,5.50612733998109,5.90000009536743,5.90000009536743,5.90000009536743,NA,407476,12.305,87.695
"41","Australia",2003,"male","35-54 years",654,2840522,23.02,NA,"466,294,700,058",25059,"Boomers",2.63,9.94,73.3942565917969,NA,NA,2.81232385001891,5.50612733998109,5.90000009536743,5.90000009536743,5.90000009536743,NA,407476,12.305,87.695
"42","Australia",2003,"male","5-14 years",7,1393719,0.5,NA,"466,294,700,058",25059,"Millenials",2.63,9.94,73.3942565917969,NA,NA,2.81232385001891,5.50612733998109,5.90000009536743,5.90000009536743,5.90000009536743,NA,407476,12.305,87.695
"43","Australia",2003,"female","75+ years",24,716236,3.35,NA,"466,294,700,058",25059,"Silent",2.63,9.94,73.3942565917969,NA,NA,2.81232385001891,5.50612733998109,5.90000009536743,5.90000009536743,5.90000009536743,NA,407476,12.305,87.695
"44","Australia",2003,"female","25-34 years",106,1444160,7.34,NA,"466,294,700,058",25059,"Generation X",2.63,9.94,73.3942565917969,NA,NA,2.81232385001891,5.50612733998109,5.90000009536743,5.90000009536743,5.90000009536743,NA,407476,12.305,87.695
"45","Australia",2003,"female","5-14 years",7,1323202,0.53,NA,"466,294,700,058",25059,"Millenials",2.63,9.94,73.3942565917969,NA,NA,2.81232385001891,5.50612733998109,5.90000009536743,5.90000009536743,5.90000009536743,NA,407476,12.305,87.695
"46","Australia",2003,"female","55-74 years",91,1697104,5.36,NA,"466,294,700,058",25059,"Silent",2.63,9.94,73.3942565917969,NA,NA,2.81232385001891,5.50612733998109,5.90000009536743,5.90000009536743,5.90000009536743,NA,407476,12.305,87.695
"47","Australia",2003,"male","55-74 years",284,1681943,16.89,NA,"466,294,700,058",25059,"Silent",2.63,9.94,73.3942565917969,NA,NA,2.81232385001891,5.50612733998109,5.90000009536743,5.90000009536743,5.90000009536743,NA,407476,12.305,87.695
"48","Australia",2003,"female","15-24 years",48,1333189,3.6,NA,"466,294,700,058",25059,"Millenials",2.63,9.94,73.3942565917969,NA,NA,2.81232385001891,5.50612733998109,5.90000009536743,5.90000009536743,5.90000009536743,NA,407476,12.305,87.695
"49","Australia",2004,"female","55-74 years",69,1741477,3.96,NA,"611,904,253,806",32454,"Silent",2.71,10.21,71.6984329223633,NA,3.9,2.84942165140848,5.72489888888071,5.5,5.30000019073486,5.40000009536743,NA,424279,12.151,87.849
"50","Australia",2004,"female","35-54 years",183,2902618,6.3,NA,"611,904,253,806",32454,"Boomers",2.71,10.21,71.6984329223633,NA,3.9,2.84942165140848,5.72489888888071,5.5,5.30000019073486,5.40000009536743,NA,424279,12.151,87.849
"51","Australia",2004,"male","5-14 years",7,1402222,0.5,NA,"611,904,253,806",32454,"Millenials",2.71,10.21,71.6984329223633,NA,3.9,2.84942165140848,5.72489888888071,5.5,5.30000019073486,5.40000009536743,NA,424279,12.151,87.849
"52","Australia",2004,"male","25-34 years",386,1441319,26.78,NA,"611,904,253,806",32454,"Generation X",2.71,10.21,71.6984329223633,NA,3.9,2.84942165140848,5.72489888888071,5.5,5.30000019073486,5.40000009536743,NA,424279,12.151,87.849
"53","Australia",2004,"female","15-24 years",67,1364452,4.91,NA,"611,904,253,806",32454,"Millenials",2.71,10.21,71.6984329223633,NA,3.9,2.84942165140848,5.72489888888071,5.5,5.30000019073486,5.40000009536743,NA,424279,12.151,87.849
"54","Australia",2004,"female","25-34 years",82,1446557,5.67,NA,"611,904,253,806",32454,"Generation X",2.71,10.21,71.6984329223633,NA,3.9,2.84942165140848,5.72489888888071,5.5,5.30000019073486,5.40000009536743,NA,424279,12.151,87.849
