"Year","Country","x"
2000,"Australia",2391
2001,"Australia",2458
2002,"Australia",2319
2003,"Australia",2156
2004,"Australia",2114
2007,"Australia",2229
2008,"Australia",2341
2009,"Australia",2337
2000,"Austria",1588
2001,"Austria",1489
2002,"Austria",1553
2003,"Austria",1456
2004,"Austria",1422
2005,"Austria",1399
2006,"Austria",1297
2007,"Austria",1285
2008,"Austria",1267
2009,"Austria",1278
2010,"Austria",1264
2004,"Belgium",1987
2005,"Belgium",2029
2006,"Belgium",1935
2007,"Belgium",1857
2008,"Belgium",1999
2009,"Belgium",2013
2010,"Belgium",2013
2003,"Canada",3765
2004,"Canada",3613
2005,"Canada",3743
2006,"Canada",3512
2007,"Canada",3611
2008,"Canada",3705
2009,"Canada",3890
2010,"Canada",3951
2000,"Denmark",728
2001,"Denmark",727
2002,"Denmark",688
2003,"Denmark",633
2004,"Denmark",661
2005,"Denmark",631
2006,"Denmark",650
2007,"Denmark",581
2008,"Denmark",603
2009,"Denmark",622
2010,"Denmark",563
2000,"Estonia",377
2001,"Estonia",401
2002,"Estonia",371
2003,"Estonia",342
2004,"Estonia",323
2005,"Estonia",273
2006,"Estonia",247
2007,"Estonia",251
2008,"Estonia",242
2009,"Estonia",269
2010,"Estonia",223
2000,"Finland",1165
2004,"Finland",1064
2005,"Finland",994
2006,"Finland",1062
2007,"Finland",995
2008,"Finland",1033
2009,"Finland",1034
2010,"Finland",954
2000,"France",10849
2001,"France",10449
2002,"France",10643
2003,"France",10871
2004,"France",10804
2005,"France",10713
2006,"France",10423
2007,"France",10127
2008,"France",10353
2009,"France",10499
2010,"France",10379

