"","ï..country","year","sex","age","suicides_no","population","suicides.100k.pop","country.year","HDI.for.year","gdp_for_year....","gdp_per_capita....","generation"
"1","Australia",2000,"male","25-34 years",466,1430700,32.57,"Australia2000",0.898,"415,034,227,218",23219,"Generation X"
"2","Australia",2000,"male","75+ years",115,416077,27.64,"Australia2000",0.898,"415,034,227,218",23219,"G.I. Generation"
"3","Australia",2000,"male","35-54 years",745,2769752,26.9,"Australia2000",0.898,"415,034,227,218",23219,"Boomers"
"4","Australia",2000,"male","15-24 years",271,1333011,20.33,"Australia2000",0.898,"415,034,227,218",23219,"Generation X"
"5","Australia",2000,"male","55-74 years",281,1522620,18.46,"Australia2000",0.898,"415,034,227,218",23219,"Silent"
"6","Australia",2000,"female","25-34 years",106,1445332,7.33,"Australia2000",0.898,"415,034,227,218",23219,"Generation X"
"7","Australia",2000,"female","35-54 years",200,2782583,7.19,"Australia2000",0.898,"415,034,227,218",23219,"Boomers"
"8","Australia",2000,"female","15-24 years",78,1285283,6.07,"Australia2000",0.898,"415,034,227,218",23219,"Generation X"
"9","Australia",2000,"female","55-74 years",87,1549060,5.62,"Australia2000",0.898,"415,034,227,218",23219,"Silent"
"10","Australia",2000,"female","75+ years",33,652895,5.05,"Australia2000",0.898,"415,034,227,218",23219,"G.I. Generation"
"11","Australia",2000,"male","5-14 years",8,1377301,0.58,"Australia2000",0.898,"415,034,227,218",23219,"Millenials"
"12","Australia",2000,"female","5-14 years",1,1309796,0.08,"Australia2000",0.898,"415,034,227,218",23219,"Millenials"
"13","Australia",2001,"male","25-34 years",489,1427829,34.25,"Australia2001",NA,"378,215,090,694",20860,"Generation X"
"14","Australia",2001,"male","35-54 years",752,2803465,26.82,"Australia2001",NA,"378,215,090,694",20860,"Boomers"
"15","Australia",2001,"male","75+ years",115,437528,26.28,"Australia2001",NA,"378,215,090,694",20860,"Silent"
"16","Australia",2001,"male","15-24 years",280,1351444,20.72,"Australia2001",NA,"378,215,090,694",20860,"Millenials"
"17","Australia",2001,"male","55-74 years",296,1566014,18.9,"Australia2001",NA,"378,215,090,694",20860,"Silent"
"18","Australia",2001,"female","35-54 years",226,2827367,7.99,"Australia2001",NA,"378,215,090,694",20860,"Boomers"
"19","Australia",2001,"female","25-34 years",109,1445867,7.54,"Australia2001",NA,"378,215,090,694",20860,"Generation X"
"20","Australia",2001,"female","75+ years",39,677113,5.76,"Australia2001",NA,"378,215,090,694",20860,"Silent"
"21","Australia",2001,"female","55-74 years",81,1585702,5.11,"Australia2001",NA,"378,215,090,694",20860,"Silent"
"22","Australia",2001,"female","15-24 years",63,1303713,4.83,"Australia2001",NA,"378,215,090,694",20860,"Millenials"
"23","Australia",2001,"female","5-14 years",4,1317968,0.3,"Australia2001",NA,"378,215,090,694",20860,"Millenials"
"24","Australia",2001,"male","5-14 years",4,1386873,0.29,"Australia2001",NA,"378,215,090,694",20860,"Millenials"
"25","Australia",2002,"male","25-34 years",452,1433165,31.54,"Australia2002",NA,"394,486,709,920",21474,"Generation X"
"26","Australia",2002,"male","35-54 years",744,2820596,26.38,"Australia2002",NA,"394,486,709,920",21474,"Boomers"
"27","Australia",2002,"male","75+ years",101,456942,22.1,"Australia2002",NA,"394,486,709,920",21474,"Silent"
"28","Australia",2002,"male","15-24 years",246,1372770,17.92,"Australia2002",NA,"394,486,709,920",21474,"Millenials"
"29","Australia",2002,"male","55-74 years",266,1626692,16.35,"Australia2002",NA,"394,486,709,920",21474,"Silent"
"30","Australia",2002,"female","35-54 years",213,2845525,7.49,"Australia2002",NA,"394,486,709,920",21474,"Boomers"
"31","Australia",2002,"female","25-34 years",103,1444148,7.13,"Australia2002",NA,"394,486,709,920",21474,"Generation X"
"32","Australia",2002,"female","55-74 years",92,1643643,5.6,"Australia2002",NA,"394,486,709,920",21474,"Silent"
"33","Australia",2002,"female","75+ years",36,696793,5.17,"Australia2002",NA,"394,486,709,920",21474,"Silent"
"34","Australia",2002,"female","15-24 years",58,1316527,4.41,"Australia2002",NA,"394,486,709,920",21474,"Millenials"
"35","Australia",2002,"female","5-14 years",4,1321845,0.3,"Australia2002",NA,"394,486,709,920",21474,"Millenials"
"36","Australia",2002,"male","5-14 years",4,1391412,0.29,"Australia2002",NA,"394,486,709,920",21474,"Millenials"
"37","Australia",2003,"male","25-34 years",394,1437607,27.41,"Australia2003",NA,"466,294,700,058",25059,"Generation X"
"38","Australia",2003,"male","35-54 years",654,2840522,23.02,"Australia2003",NA,"466,294,700,058",25059,"Boomers"
"39","Australia",2003,"male","75+ years",103,476387,21.62,"Australia2003",NA,"466,294,700,058",25059,"Silent"
"40","Australia",2003,"male","15-24 years",243,1394989,17.42,"Australia2003",NA,"466,294,700,058",25059,"Millenials"
"41","Australia",2003,"male","55-74 years",284,1681943,16.89,"Australia2003",NA,"466,294,700,058",25059,"Silent"
"42","Australia",2003,"female","25-34 years",106,1444160,7.34,"Australia2003",NA,"466,294,700,058",25059,"Generation X"
"43","Australia",2003,"female","35-54 years",195,2868971,6.8,"Australia2003",NA,"466,294,700,058",25059,"Boomers"
"44","Australia",2003,"female","55-74 years",91,1697104,5.36,"Australia2003",NA,"466,294,700,058",25059,"Silent"
"45","Australia",2003,"female","15-24 years",48,1333189,3.6,"Australia2003",NA,"466,294,700,058",25059,"Millenials"
"46","Australia",2003,"female","75+ years",24,716236,3.35,"Australia2003",NA,"466,294,700,058",25059,"Silent"
"47","Australia",2003,"female","5-14 years",7,1323202,0.53,"Australia2003",NA,"466,294,700,058",25059,"Millenials"
"48","Australia",2003,"male","5-14 years",7,1393719,0.5,"Australia2003",NA,"466,294,700,058",25059,"Millenials"
